geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_05051,12.0,5.0,58.33,27.894795813556335,3.0,75.0,24.5
#_05053,9.0,2.0,77.78,27.160690914465174,1.0,88.89,20.531387474466175
#_05055,61.0,28.0,54.1,12.505358001836587,18.0,70.49,11.445625029907536
#_05057,118.0,28.0,76.27,7.6761032903023025,15.0,87.29,6.00993935602106
#_05059,30.0,10.0,66.67,16.868572357849374,4.0,86.67,12.163117914087652
#_05061,21.0,8.0,61.9,20.77084841791495,2.0,90.48,12.552816901397069
#_05063,37.0,16.0,56.76,15.963173920536521,9.0,75.68,13.823803642249096
#_05065,77.0,44.0,42.86,11.053680569755118,21.0,72.73,9.947411214070632
#_05067,62.0,14.0,77.42,10.407556539609155,8.0,87.1,8.343805258606436
#_05069,312.0,146.0,53.21,5.536711907640232,70.0,77.56,4.629233644501497
#_05071,30.0,19.0,36.67,17.244699979761897,8.0,73.33,15.825148510898721
#_05073,17.0,7.0,58.82,23.39576723426697,1.0,94.12,11.18307488221269
#_05075,78.0,17.0,78.21,9.16154096981171,7.0,91.03,6.3415768953786245
#_05077,62.0,32.0,48.39,12.439558510888014,25.0,59.68,12.210540700400168
#_05079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05081,21.0,8.0,61.9,20.77084841791495,6.0,71.43,19.32154582221619
#_05083,32.0,20.0,37.5,16.774003323595714,8.0,75.0,15.003124674546966
#_05085,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_05087,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_05089,18.0,15.0,16.67,17.218222262346238,7.0,61.11,22.521376567163916
#_05091,91.0,37.0,59.34,10.092362316737727,19.0,79.12,8.351101490130599
#_05093,213.0,131.0,38.5,6.534828467419137,74.0,65.26,6.3944723149797325
#_05095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05099,56.0,14.0,75.0,11.341296222213755,11.0,80.36,10.405255856537119
#_05101,21.0,13.0,38.1,20.77084841791495,5.0,76.19,18.21692660064626
#_05103,207.0,109.0,47.34,6.801824980681736,62.0,70.05,6.239838965777929
#_05105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05107,15.0,8.0,46.67,25.247311251906936,4.0,73.33,22.38013965068136
#_05109,25.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05111,130.0,69.0,46.92,8.578845648436177,33.0,74.62,7.480968506283127
#_05113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05115,30.0,21.0,30.0,16.398536520067882,12.0,60.0,17.53077294359835
#_05117,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05119,242.0,125.0,48.35,6.296247486656091,67.0,72.31,5.637791973799202
#_05121,140.0,71.0,49.29,8.281676611411482,50.0,64.29,7.9370422385168125
#_05123,223.0,162.0,27.35,5.850596061772416,86.0,61.43,6.388791527712733
#_05125,108.0,82.0,24.07,8.062856653127902,44.0,59.26,9.266922468411805
#_05127,13.0,3.0,76.92,22.904559045274404,1.0,92.31,14.48344720505234
#_05129,76.0,20.0,73.68,9.900725648684864,8.0,89.47,6.900843516861582
#_05131,161.0,95.0,40.99,7.5970485147623075,48.0,70.19,7.065806542842053
#_05133,131.0,18.0,86.26,5.89547112753277,9.0,93.13,4.331552609322466
#_05135,80.0,38.0,52.5,10.943028602722373,23.0,71.25,9.917961925214271
#_05137,2.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05139,3.0,3.0,0.0,0.0,2.0,33.33,53.34310952616092
#_05141,3.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05143,249.0,164.0,34.14,5.88977927346352,79.0,68.27,5.781045470185597
#_05145,8.0,3.0,62.5,33.54800664719143,1.0,87.5,22.91765149399039
#_05147,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_05149,6.0,3.0,50.0,40.00833246545858,2.0,66.67,37.71927447552511
#_06001,1306.0,1006.0,22.97,2.281365814037259,580.0,55.59,2.6947793238344007
#_06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_06005,157.0,138.0,12.1,5.101446868572312,71.0,54.78,7.785428814472773
#_06007,589.0,410.0,30.39,3.714493398825082,177.0,69.95,3.702665858324793
#_06009,188.0,135.0,28.19,6.431572180582486,61.0,67.55,6.6926355190977915
#_06011,47.0,32.0,31.91,13.32638057120202,14.0,70.21,13.075005508676274
#_06013,691.0,564.0,18.38,2.887939536831343,334.0,51.66,3.7260405042646987
#_06015,186.0,144.0,22.58,6.008805569749595,84.0,54.84,7.151963492726337
#_06017,291.0,245.0,15.81,4.191850318607314,142.0,51.2,5.743206982752353
#_06019,1779.0,1294.0,27.26,2.0692724298392022,761.0,57.22,2.299124101683286
#_06021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_06023,343.0,278.0,18.95,4.14753565385519,179.0,47.81,5.2864244702823475
#_06025,1068.0,692.0,35.21,2.864556862121886,362.0,66.1,2.839036812454518
#_06027,25.0,17.0,32.0,18.285865142234865,8.0,68.0,18.285865142234865
#_06029,1868.0,1116.0,40.26,2.2240120184384025,668.0,64.24,2.1735476053295524
#_06031,144.0,49.0,65.97,7.738896561526068,32.0,77.78,6.790172728616294
#_06033,124.0,92.0,25.81,7.702149012136891,51.0,58.87,8.661071052816476
#_06035,25.0,16.0,36.0,18.816,1.0,96.0,7.681599833368046
#_06037,12981.0,8841.0,31.89,0.801742112696814,4903.0,62.23,0.8340179337549168
#_06039,272.0,209.0,23.16,5.013425607306845,137.0,49.63,5.941960115840168
