,COUNT
34698,253
23832,253
63137,253
07008,253
33870,253
11426,253
43613,253
27587,253
94132,252
99801,252
90019,252
01887,252
80011,252
75961,252
73110,251
14072,251
55418,251
27127,251
12603,251
33770,251
14218,251
60652,251
44691,251
37919,251
32536,251
73107,251
45424,250
39564,250
94080,250
63109,250
48141,250
48640,250
48197,250
60659,250
62040,250
56301,250
48910,250
23237,250
90034,250
30134,249
40502,249
46214,249
75241,249
77701,249
07013,249
27288,249
37821,249
22902,249
28403,249
94538,249
78332,249
12533,248
99205,248
44111,248
60453,248
07070,248
08724,248
71118,248
29928,248
04102,248
30168,248
94107,248
30060,247
38834,247
34207,247
74063,247
43205,247
11428,247
61032,247
86314,247
32570,247
28054,247
30092,246
30294,246
20110,245
28269,245
33020,245
89015,245
55105,245
92105,245
43201,245
55113,245
91335,245
06460,245
29306,245
02062,245
63101,245
22030,245
22701,245
28025,245
75701,244
60419,244
48035,244
35206,244
61102,244
02724,244
10538,244
77033,244
06078,244
07108,243
44125,243
29687,243
63103,243
76522,243
01089,243
08723,243
19977,243
75227,243
39648,243
56201,243
22802,243
07506,243
43512,243
34668,243
40210,242
90005,242
80631,242
33810,242
06511,242
12065,242
48091,242
15010,242
44307,242
30238,242
06410,242
68107,242
29526,242
55447,242
01550,242
27332,242
31322,242
63301,242
98032,241
52404,241
29445,241
30655,241
76543,241
20707,241
75901,241
90036,241
78550,241
77034,241
42431,241
23834,241
93306,241
48532,241
03102,241
44301,241
20147,241
75006,241
63033,241
07731,240
73034,240
44266,240
02152,240
71270,240
32117,240
98801,240
95351,240
33771,239
42633,239
52732,239
30635,239
78207,239
06226,239
40336,238
38016,238
89107,238
48917,238
38583,238
06830,238
98626,238
13206,238
70126,237
72023,237
45403,237
43219,237
33319,237
91730,237
75215,237
07446,237
78408,237
01608,237
23703,237
14901,237
05641,237
43227,236
89156,236
98499,236
31069,236
96080,236
48340,236
49508,236
79761,236
44114,236
83605,236
14624,236
02170,236
29615,236
89060,235
07060,235
98391,235
44703,235
19149,235
78660,235
64131,235
01301,235
14612,235
30228,235
95376,235
30043,234
94124,234
95354,234
79907,234
29102,234
44106,234
55426,234
22554,234
93727,234
44060,234
93722,234
76063,234
30214,234
90043,234
74066,234
01867,234
93702,234
89031,234
28147,234
37129,234
47714,234
30039,233
85705,233
78155,233
01581,233
48126,233
04092,233
78745,233
02145,232
63110,232
13224,232
76541,232
43812,232
48111,232
44256,232
68105,232
72756,232
81401,232
38611,231
21040,231
08012,231
48706,231
06518,231
76706,231
60707,231
67211,231
33844,231
97321,231
66614,231
77803,230
33823,230
01826,230
71101,230
38018,230
44805,230
33805,229
73111,229
14420,229
06120,229
48322,229
30126,229
79938,229
31792,229
70127,229
48507,229
72712,229
30311,229
55109,229
96094,229
38019,229
33177,229
64110,229
34744,229
30606,229
45342,229
27886,229
61761,229
06606,229
61602,229
53711,228
27858,228
73099,228
85122,228
08701,228
45402,228
14226,228
55444,228
13207,228
60099,228
66106,228
77009,228
36695,228
75044,227
45133,227
93454,227
44312,227
37748,227
62801,227
23322,227
33619,227
71753,227
06443,226
95695,226
64093,226
31533,226
29440,226
19083,226
19138,226
40503,226
17701,226
70301,226
76028,226
68134,226
41702,225
04072,225
45214,225
11362,225
88240,225
52402,225
42420,225
60004,225
11694,225
23227,225
05819,225
33714,225
77590,225
38112,225
37402,224
75455,224
21014,224
15221,224
64124,224
70433,224
77072,224
30350,224
83501,224
77380,224
44137,224
28734,224
49017,224
11360,224
55118,224
72370,224
29505,224
28227,223
48307,223
77301,223
75090,223
38668,223
64133,223
56304,223
75002,223
27803,223
83854,223
73120,223
18704,223
43610,223
10707,223
76180,223
79762,223
15210,223
19119,223
46151,222
48211,222
73132,222
11757,222
76014,222
86442,222
44104,222
30066,222
43620,222
32839,222
79915,222
30153,222
40215,222
38261,222
29053,222
94121,221
77021,221
46803,221
20706,221
39440,221
76051,221
38863,221
38351,221
29169,221
23060,221
36869,221
78613,221
55901,221
12304,221
55406,221
10918,221
76707,221
34208,221
33025,221
32720,221
38618,220
64030,220
93230,220
75951,220
25401,220
80204,220
10977,220
90016,220
48038,220
32780,220
98248,220
16801,220
58201,220
32208,220
33015,220
29212,220
93257,220
80020,220
66801,219
96817,219
29910,219
78210,219
80010,219
40272,219
11370,219
34711,219
78572,219
30024,219
08030,219
77036,219
63123,219
19709,219
29204,219
70663,219
30101,219
48208,219
78664,219
89506,219
10940,219
94123,218
42701,218
27713,218
75050,218
08865,218
90731,218
15206,218
84015,218
11366,218
23321,218
01840,218
30087,218
14150,218
38002,218
95380,218
39563,218
33133,218
64055,218
77584,217
64052,217
30506,217
77802,217
77530,217
59901,217
97007,217
62650,217
55433,217
93555,217
32547,217
98188,217
02563,217
24073,217
43611,217
60163,217
33063,217
27705,217
26062,217
10956,216
29560,216
07080,216
76201,216
56601,216
76705,216
14094,216
31763,216
44224,216
75060,216
21784,216
27804,216
76801,216
11356,216
67216,216
77471,215
78539,215
28115,215
07071,215
99507,215
55423,215
43230,215
34601,215
33917,215
94105,215
22312,215
27514,215
78410,215
33781,215
24502,215
25705,215
30102,215
27103,215
90026,215
73071,215
02777,215
80012,214
43560,214
45805,214
76107,214
22306,214
50703,214
02809,214
33614,214
87401,214
33755,214
60087,214
35212,214
33713,214
14620,214
75165,214
98030,214
88220,214
30132,214
23236,213
77047,213
33032,213
06903,213
04062,213
37918,213
43725,213
55303,213
94133,213
13045,213
45223,213
01773,213
06489,213
77706,213
46774,213
30016,212
72472,212
54601,212
73115,212
84107,212
83201,212
19020,212
40515,212
06473,212
75041,212
33033,212
01904,212
78228,212
75007,212
02324,212
19147,212
76017,212
60169,211
46254,211
54302,211
33830,211
50310,211
58701,211
59701,211
76548,211
98532,211
32206,211
30204,211
24523,211
15644,211
75074,211
60607,210
06451,210
60133,210
65616,210
53713,210
92324,210
39074,210
53404,210
39402,210
17033,210
20740,210
22601,210
99337,210
08043,210
13202,210
73109,210
08108,209
55441,209
29170,209
97045,209
48312,209
33127,209
07755,209
PIT,209
47501,209
31021,209
29649,209
78704,209
72601,209
70122,209
98031,209
29412,209
19801,209
77023,209
20705,209
43050,209
85301,208
39047,208
45504,208
89032,208
38117,208
75098,208
18901,208
34743,208
80526,208
37013,208
64850,208
77356,208
74017,208
48127,208
32308,208
48146,208
46221,208
63119,208
93726,208
99645,208
48045,207
28334,207
84041,207
12569,207
32526,207
32812,207
73114,207
32244,207
54303,207
12804,207
96797,207
90008,207
97355,207
39367,207
65721,207
28405,207
34746,206
28786,206
21613,206
35160,206
53214,206
60477,206
72160,206
77449,206
44314,206
76502,206
36608,206
44212,206
29420,206
32514,206
03103,206
48036,206
62401,206
51503,205
21702,205
28739,205
02904,205
37211,205
98002,205
74003,205
37604,205
71655,205
97206,205
75503,205
43026,205
98338,205
78840,205
33169,205
33916,205
34758,205
49506,205
24153,205
44240,205
39532,205
33054,204
64836,204
44132,204
44143,204
13126,204
37862,204
33056,204
35150,204
55044,204
62207,204
60630,204
76040,204
53225,204
44145,204
30540,204
32312,204
32025,203
66212,203
79416,203
30260,203
60466,203
17110,203
98146,203
80203,203
12144,203
40299,203
72206,203
70094,203
30019,203
44446,203
93706,203
07203,203
75068,203
45150,203
12901,203
33055,203
10307,203
33881,203
06776,203
10512,202
06901,202
30143,202
52501,202
90027,202
29706,202
37716,202
28570,202
08226,202
19135,202
39429,202
06840,202
75034,202
10962,202
61109,202
30605,202
01002,202
12047,202
21234,201
48341,201
55082,201
11784,201
29010,201
02146,201
70526,201
22903,201
90007,201
73159,201
77379,201
84074,201
92114,201
22041,201
49509,201
07753,201
45219,201
77450,201
34205,200
60302,200
43078,200
01606,200
95670,200
76179,200
29456,200
74820,200
46816,200
08753,200
90035,200
94577,200
12203,200
30534,199
21403,199
79764,199
12801,199
07801,199
11575,199
01507,199
32534,199
